indicator,name,description,sources
ONE.10.1010_11010,Total ODA (Official Definition),Official Development Assistance (ODA) according to the DAC definition for each year.,['DAC1']
ONE.40.1010_11010_1,Total ODA (official definition) as a percentage of GNI,Official Development Assistance (ODA) as a percentage of Gross National Income (GNI) for each year. Based on the official DAC definition for each year.,['DAC1']
ONE.40.1010_1,Total ODA (net flows) as a percentage of GNI,Official Development Assistance (ODA) net flows as a percentage of Gross National Income (GNI) for each year.,['DAC1']
ONE.10.1010C,Total Core ODA (ONE Definition),Official Development Assistance (ODA) excluding in-donor spending,['DAC1']
DAC1.40.1,Gross National Income (GNI),DAC1 data for Gross National Income (GNI) [Non flow],['DAC1']
DAC1.40.3,"Flows as per cent of GNI, net disbursements","DAC1 data for Flows as per cent of GNI, net disbursements [Non flow]",['DAC1']
DAC1.40.4,Population,DAC1 data for Population [Non flow],['DAC1']
DAC1.50.5,Official and private flows,DAC1 data for Official and private flows [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.21.200,Other Official Flows (OOF),DAC1 data for Other Official Flows (OOF) [OOF],['DAC1']
DAC1.50.207,Total participation in peacebuilding operations (incl. non-ODA),DAC1 data for Total participation in peacebuilding operations (incl. non-ODA) [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.21.210,Other official bilateral flows,DAC1 data for Other official bilateral flows [OOF],['DAC1']
DAC1.21.295,Other bilateral securities and claims,DAC1 data for Other bilateral securities and claims [OOF],['DAC1']
DAC1.21.298,Other claims and grants (includes developmental OOF loans),DAC1 data for Other claims and grants (includes developmental OOF loans) [OOF],['DAC1']
DAC1.21.300,Debt rescheduling,DAC1 data for Debt rescheduling [OOF],['DAC1']
DAC1.21.301,Non-concessional rescheduling,DAC1 data for Non-concessional rescheduling [OOF],['DAC1']
DAC1.21.303,OOF component of debt service reduction,DAC1 data for OOF component of debt service reduction [OOF],['DAC1']
DAC1.21.304,OOF claims (capitalised interest),DAC1 data for OOF claims (capitalised interest) [OOF],['DAC1']
DAC1.22.305,Claims of officially supported export credits,DAC1 data for Claims of officially supported export credits [Officially supported export credits],['DAC1']
DAC1.60.307,Offsetting entry for PSI reported using the institutional approach,DAC1 data for Offsetting entry for PSI reported using the institutional approach [Private sector instruments (though in theory those are also ODA)],['DAC1']
DAC1.21.325,Transactions with multilateral agencies at market terms,DAC1 data for Transactions with multilateral agencies at market terms [OOF],['DAC1']
DAC1.21.326,Purchase of securities from issuing agencies,DAC1 data for Purchase of securities from issuing agencies [OOF],['DAC1']
DAC1.21.327,Other transactions,DAC1 data for Other transactions [OOF],['DAC1']
DAC1.36.340,Direct investment,DAC1 data for Direct investment [Private foreign direct investment],['DAC1']
DAC1.36.345,"Direct investment, of which: New capital outflows","DAC1 data for Direct investment, of which: New capital outflows [Private foreign direct investment]",['DAC1']
DAC1.50.359,Multilateral private flows,DAC1 data for Multilateral private flows [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.37.388,Bonds (non-banks),DAC1 data for Bonds (non-banks) [Other private market],['DAC1']
DAC1.37.415,"Private grants, net","DAC1 data for Private grants, net [Other private market]",['DAC1']
DAC1.50.420,Support received from official sector,DAC1 data for Support received from official sector [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.425,Gross outflow from private sources,DAC1 data for Gross outflow from private sources [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.37.751,Bonds (banks),DAC1 data for Bonds (banks) [Other private market],['DAC1']
DAC1.21.805,Memo: - Interest received on OOF (Multilateral),DAC1 data for Memo: - Interest received on OOF (Multilateral) [OOF],['DAC1']
DAC1.10.1010,Official Development Assistance (ODA),DAC1 data for Official Development Assistance (ODA) [ODA],['DAC1']
