provider_code,agency_code,provider_name,agency_name,channel_code,status,reason,method,reviewed
104,1,Nordic Development Fund,Nordic Development Fund,47128,mapped,,exact,true
104,2,Nordic Development Fund,Energy and Environment Partnership Trust Fund,47128,mapped,,exact,true
807,1,UNEP,Assessed contributions - UN regular budget,41116,mapped,,exact,true
807,2,UNEP,Environment Fund,41116,mapped,,exact,true
807,3,UNEP,Multilateral Fund under the Montreal Protocol on Substances that Deplete the Ozone Layer,47078,mapped,,exact,true
807,4,UNEP,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) - Assessed contributions,47022,mapped,,exact,true
807,47,UNEP,UNEP,41116,mapped,,exact,true
811,1,Global Environment Facility,GEF (general),47044,mapped,,exact,true
811,11,Global Environment Facility,GEF Trust Fund,47044,mapped,,exact,true
811,12,Global Environment Facility,Least Developed Countries Trust Fund (LDCF),47129,mapped,,exact,true
811,13,Global Environment Facility,Special Climate Change Trust Fund (SCCF),47130,mapped,,exact,true
811,14,Global Environment Facility,Nagoya Protocol Implementation Fund (NPIF),47044,mapped,,exact,true
811,15,Global Environment Facility,GEF Capacity Building Initiative for Transparency,47044,mapped,,exact,true
811,16,Global Environment Facility,GEF Multi-Trust Funds,47044,mapped,,exact,true
811,19,Global Environment Facility,Global Biodiversity Framework Fund (GBFF),47044,mapped,,exact,true
812,1,Montreal Protocol,Montreal Protocol,47078,mapped,,exact,true
901,1,International Bank for Reconstruction and Development,IBRD,44001,mapped,,exact,true
903,1,International Finance Corporation,International Finance Corporation,44004,mapped,,exact,true
905,1,International Development Association,IDA,44002,mapped,,exact,true
906,1,Caribbean Development Bank,Caribbean Development Bank,46009,mapped,,exact,true
909,1,Inter-American Development Bank,Ordinary Capital,46012,mapped,,exact,true
909,2,Inter-American Development Bank,Fund for Special Operations,46013,mapped,,exact,true
909,3,Inter-American Development Bank,Fund for Special Operations-Ordinary Capital,46013,mapped,,exact,true
909,4,Inter-American Development Bank,Ordinary Capital,46012,mapped,,exact,true
909,5,Inter-American Development Bank,Multilateral Investment Fund,46012,mapped,,exact,true
909,6,Inter-American Development Bank,Grant Facility,46012,mapped,,exact,true
909,11,Inter-American Development Bank,Clean Technology Fund,46012,mapped,,exact,true
909,14,Inter-American Development Bank,Strategic Climate Fund,46012,mapped,,exact,true
909,15,Inter-American Development Bank,Small Enterprise Development Facility,46012,mapped,,exact,true
909,16,Inter-American Development Bank,Small Enterprise Investment Fund,46012,mapped,,exact,true
909,17,Inter-American Development Bank,Human Resource Facility,46012,mapped,,exact,true
909,18,Inter-American Development Bank,IDB Grant Facility,46012,mapped,,exact,true
909,20,Inter-American Development Bank,Fund for Increasing Productivity and Promoting Inclusive Economic Growth,46012,mapped,,exact,true
910,1,Central American Bank for Economic Integration,Ordinary capital,46007,mapped,,exact,true
910,2,Central American Bank for Economic Integration,Trust funds,46007,mapped,,exact,true
913,1,African Development Bank,AfDB Ordinary Capital,46002,mapped,,exact,true
913,11,African Development Bank,AfDB Middle Income Country Fund,46002,mapped,,exact,true
913,12,African Development Bank,AfDB Special Relief Fund,46002,mapped,,exact,true
913,14,African Development Bank,AfDB NEPAD/IPPF,46002,mapped,,exact,true
913,15,African Development Bank,AfDB African Water Facility Fund,46002,mapped,,exact,true
913,16,African Development Bank,Fund for African Private Sector Assistance,46002,mapped,,exact,true
914,1,African Development Fund,AfDF,46003,mapped,,exact,true
914,2,African Development Fund,NTF,46003,mapped,,exact,true
914,13,African Development Fund,AfDB Fragile States Facility,46003,mapped,,exact,true
915,1,Asian Development Bank,Asian Development Bank,46004,mapped,,exact,true
915,2,Asian Development Bank,Asia Pacific Disaster Response Fund,46004,mapped,,exact,true
915,3,Asian Development Bank,Climate Change Fund,46004,mapped,,exact,true
915,4,Asian Development Bank,Pakistan Earthquake Fund,46004,mapped,,exact,true
915,5,Asian Development Bank,Japan Special Fund,46004,mapped,,exact,true
915,11,Asian Development Bank,Technical Assistance Special Fund (TASF),46004,mapped,,exact,true
915,12,Asian Development Bank,Regional Cooperation and Integration Fund (RCIF),46004,mapped,"ADB sub-funds without a channel code of their own roll up to the parent Asian Development Bank code 46004, the treatment every other ADB sub-fund receives. $41.1m CRS 2015-2024. Reviewed 2026-09-22.",manual,true
915,13,Asian Development Bank,Financial Sector Development Partnership Special Fund,46004,mapped,,exact,true
918,,EU Institutions,,42001,mapped,,exact,true
918,1,EU Institutions,European Commission,42001,mapped,,exact,true
918,2,EU Institutions,European Development Fund,42003,mapped,,exact,true
918,3,EU Institutions,European Investment Bank,42004,mapped,,exact,true
918,4,EU Institutions,Humanitarian Aid Office of the European Commission,42001,mapped,"DG ECHO is financed from the EU general budget, which channel 42001 (European Commission) represents; 42003 is the separately replenished EDF. No CRS rows under this agency in 2015-2024, so no money moves today. Reviewed 2026-09-22.",manual,true
918,5,EU Institutions,Macro-Financial Assistance,,excluded,"D3: EU Macro-Financial Assistance is financed through EC borrowing against the Guarantee Fund for External Actions, not member-state core replenishments; no core-contribution channel exists for it. Confirmed zero imputed-money impact either way: Multisystem carries no core-contribution series for MFA.",manual,true
918,99,EU Institutions,Miscellaneous,42001,mapped,,exact,true
921,1,Arab Fund (AFESD),Arab Fund ,47152,mapped,AFESD has no code in the pre-refresh crs_channel_mapping.csv; 47152 exists in the current OECD codelist.,manual,true
923,1,UN Peacebuilding Fund,UNPBF,41141,mapped,Current matcher sends UN Peacebuilding Fund to the generic 41305 'United Nations' bucket; 41141 is its specific code.,manual,true
928,1,World Health Organisation,WHO,41307,mapped,,exact,true
928,2,World Health Organisation,WHO Assessed contributions,41307,mapped,,exact,true
928,3,World Health Organisation,WHO Core Voluntary contributions,41143,mapped,,exact,true
932,1,Food and Agriculture Organisation,Core resources - developmental,41301,mapped,,exact,true
940,1,International Labour Organisation,Regular Budget,41302,mapped,ILO's core money sits overwhelmingly at 41302 'Assessed Contributions' ($1.69bn) rather than 41144 'Regular Budget Supplementary Account' ($165M) where the current matcher sends all three provider-940 agencies by name match. Agency 1 'Regular Budget' is the mandatory-dues agency and maps to 41302.,manual,true
940,2,International Labour Organisation,Regular Budget Technical Cooperation,41302,mapped,"Regular Budget Technical Cooperation is an appropriation within the ILO regular budget, funded by assessed contributions, so it belongs with 41302; agency 3 is the Regular Budget Supplementary Account (41144). $186.2m CRS 2015-2024. Reviewed 2026-09-22.",manual,true
940,3,International Labour Organisation,Regular Budget Supplementary Account,41144,mapped,,exact,true
944,1,International Atomic Energy Agency,IAEA,41312,mapped,,exact,true
948,1,UNECE,UNECE,41314,mapped,,exact,true
951,1,OPEC Fund for International Development,OPEC Fund,47142,mapped,,exact,true
953,1,Arab Bank for Economic Development in Africa,Arab Bank for Economic Development in Africa,47151,mapped,BADEA has no code in the pre-refresh crs_channel_mapping.csv; 47151 exists in the current OECD codelist. Lapsed reporter (last CRS year 2015); $0 at stake 2021-2024.,manual,true
958,1,IMF (Concessional Trust Funds),IMF concessional,43001,mapped,,exact,true
959,1,UNDP,UNDP,41114,mapped,,exact,true
962,2,United Nations Conference on Trade and Development,United Nations Conference on Trade and Development - Regular budget,41112,mapped,,exact,true
963,1,UNICEF,UNICEF,41122,mapped,,exact,true
964,1,UNRWA,UNRWA,41130,mapped,,exact,true
966,1,WFP,WFP,41140,mapped,,exact,true
967,1,UNHCR,United Nations High Commissioner for Refugees,41121,mapped,Current matcher sends UNHCR to the generic 41305 'United Nations' bucket; 41121 is UNHCR's specific code.,manual,true
971,1,UNAIDS,UNAIDS,41110,mapped,,exact,true
974,1,UNFPA,UNFPA,41119,mapped,,exact,true
976,1,Islamic Development Bank,Ordinary Capital Resources,46025,mapped,,exact,true
